AdaptChoice	Code = 50	Session = 2	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
50	1	1	0	1	0	1	51	48	0	5	3	3	2	1	4351	1	1	NaN
50	2	2	0	1	0	2	25	4	0	2	4	3	0	0	3864	NaN	NaN	2
50	3	3	0	1	0	3	46	43	0	2	3	2	1	1	11126	0	2	NaN
50	4	4	0	1	0	4	44	38	0	4	5	4	1	1	2621	0	2	1
50	5	5	0	1	0	5	49	4	0	3	2	2	2	1	21720	1	1	2
50	6	6	0	0	1	6	2	20	0	3	5	5	2	1	8825	1	1	1
50	7	7	0	0	1	7	49	48	0	2	5	2	1	1	2990	0	2	2
50	8	8	0	0	1	8	50	29	0	3	4	3	1	1	3532	0	2	1
50	9	9	0	0	1	9	27	34	0	5	3	3	2	1	5805	NaN	1	2
50	10	10	0	0	1	10	50	26	0	3	2	2	2	1	6956	0	1	1
50	1	1	1	1	0	1	54	36	0	4	5	4	1	1	14559	0	2	NaN
50	2	2	1	1	0	2	3	50	0	3	2	3	1	1	4819	0	2	1
50	3	3	1	1	0	3	30	29	0	4	3	3	2	1	10155	1	1	2
50	4	4	1	1	0	4	24	27	0	4	3	3	2	1	1226	1	1	1
50	5	5	1	1	0	5	25	54	0	5	4	4	2	1	4232	1	1	1
50	6	6	1	0	1	6	2	45	0	4	2	2	2	1	8908	1	1	1
50	7	7	1	0	1	7	24	45	0	2	4	4	2	1	9410	1	1	1
50	8	8	1	0	1	8	14	21	0	4	2	4	1	1	2918	0	2	2
50	9	9	1	0	1	9	44	29	0	5	4	5	1	1	7631	NaN	2	1
50	10	10	1	0	1	10	36	43	0	5	4	5	1	1	5971	1	2	1
50	11	11	1	0	1	11	42	26	0	5	2	5	1	1	3658	1	2	1
50	12	12	1	0	1	12	3	40	0	4	2	2	2	1	3174	0	1	2
50	13	13	1	2	0	1	25	15	0	4	3	4	1	1	3380	1	1	2
50	14	14	1	2	0	2	18	53	0	2	3	2	1	1	9626	1	1	1
50	15	15	1	2	0	3	42	50	0	2	5	2	1	1	8418	1	1	1
50	16	16	1	2	0	4	19	53	0	4	5	4	1	1	8410	1	1	1
50	17	17	1	2	0	5	30	5	0	5	4	5	1	1	4462	1	1	1
50	18	18	1	0	2	6	52	30	0	3	4	4	2	1	2530	0	2	2
50	19	19	1	0	2	7	14	11	0	4	3	3	2	1	2423	0	2	1
50	20	20	1	0	2	8	52	2	0	4	2	2	2	1	3006	0	2	1
50	21	21	1	0	2	9	8	36	0	5	4	4	2	1	2625	NaN	2	1
50	22	22	1	0	2	10	44	41	0	2	3	3	2	1	4168	1	2	1
50	23	23	1	0	2	11	12	28	0	3	5	5	2	1	10409	1	2	1
50	24	24	1	0	2	12	39	10	0	3	5	3	1	1	6078	0	1	2
50	25	25	1	1	0	1	8	22	0	5	3	3	2	1	5419	1	1	2
50	26	26	1	1	0	2	24	51	0	5	3	3	2	1	16122	1	1	1
50	27	27	1	1	0	3	8	36	0	3	5	5	2	1	4970	1	1	1
50	28	28	1	1	0	4	34	11	0	5	2	5	1	1	4185	0	2	2
50	29	29	1	1	0	5	14	37	0	3	2	2	2	1	18707	1	1	2
50	30	30	1	0	1	6	40	10	0	3	5	3	1	1	3860	0	2	2
50	31	31	1	0	1	7	3	53	0	4	2	2	2	1	9792	1	1	2
50	32	32	1	0	1	8	23	33	0	2	5	5	2	1	4468	1	1	1
50	33	33	1	0	1	9	17	26	0	5	2	5	1	1	3620	NaN	2	2
50	34	34	1	0	1	10	20	2	0	2	5	5	2	1	1411	0	1	2
50	35	35	1	0	1	11	50	5	0	3	5	5	2	1	4389	0	1	1
50	36	36	1	0	1	12	14	40	0	3	5	5	2	1	3792	0	1	1
50	37	37	1	2	0	1	32	23	0	2	4	4	2	1	6218	0	2	1
50	38	38	1	2	0	2	49	34	0	2	4	4	2	1	1850	0	2	1
50	39	39	1	2	0	3	38	16	0	2	3	3	2	1	1577	0	2	1
50	40	40	1	2	0	4	33	21	0	2	5	5	2	1	4406	0	2	1
50	41	41	1	2	0	5	25	4	0	5	4	4	2	1	2713	0	2	1
50	42	42	1	0	2	6	22	33	0	3	2	2	2	1	1802	0	2	1
50	43	43	1	0	2	7	33	28	0	3	4	3	1	1	1648	1	1	2
50	44	44	1	0	2	8	33	34	0	4	2	2	2	1	1759	0	2	2
50	45	45	1	0	2	9	54	19	0	2	4	4	2	1	5380	NaN	2	1
50	46	46	1	0	2	10	44	6	0	5	2	2	2	1	7011	1	2	1
50	47	47	1	0	2	11	52	16	0	5	4	4	2	1	1455	1	2	1
50	48	48	1	0	2	12	27	25	0	2	5	5	2	1	8202	1	2	1
50	49	49	1	1	0	1	7	49	0	5	2	5	1	1	7913	0	2	2
50	50	50	1	1	0	2	39	48	0	4	3	4	1	1	4419	0	2	1
50	51	51	1	1	0	3	48	23	0	2	5	2	1	1	12059	0	2	1
50	52	52	1	1	0	4	31	48	0	3	4	4	2	1	1896	1	1	2
50	53	53	1	1	0	5	34	8	0	4	5	4	1	1	969	0	2	2
50	54	54	1	0	1	6	37	47	0	3	5	3	1	1	3122	0	2	1
50	55	55	1	0	1	7	25	52	0	4	5	4	1	1	7578	0	2	1
50	56	56	1	0	1	8	8	15	0	2	3	3	2	1	1282	1	1	2
50	57	57	1	0	1	9	21	15	0	3	2	2	2	1	813	NaN	1	1
50	58	58	1	0	1	10	29	30	0	3	4	4	2	1	8239	0	1	1
50	59	59	1	0	1	11	52	24	0	4	2	2	2	1	9228	0	1	1
50	60	60	1	0	1	12	38	43	0	3	5	3	1	1	3508	1	2	2
50	61	61	1	2	0	1	39	54	0	5	4	5	1	1	3449	1	1	1
50	62	62	1	2	0	2	49	54	0	4	3	4	1	1	8632	1	1	1
50	63	63	1	2	0	3	46	27	0	5	3	5	1	1	6477	1	1	1
50	64	64	1	2	0	4	30	49	0	2	4	4	2	1	7826	0	2	2
50	65	65	1	2	0	5	43	10	0	3	2	2	2	1	2154	0	2	1
50	66	66	1	0	2	6	40	46	0	4	2	2	2	1	5151	0	2	1
50	67	67	1	0	2	7	49	6	0	3	4	4	2	1	1845	0	2	1
50	68	68	1	0	2	8	16	14	0	3	2	3	1	1	1596	1	1	2
50	69	69	1	0	2	9	17	53	0	5	2	5	1	1	1250	NaN	1	1
50	70	70	1	0	2	10	22	32	0	4	5	4	1	1	4145	0	1	1
50	71	71	1	0	2	11	5	24	0	2	4	2	1	1	1795	0	1	1
50	72	72	1	0	2	12	48	15	0	5	3	5	1	1	4789	0	1	1
50	73	73	1	1	0	1	10	54	0	4	3	3	2	1	3711	1	1	2
50	74	74	1	1	0	2	21	41	0	5	2	5	1	1	1756	0	2	2
50	75	75	1	1	0	3	21	9	0	3	4	3	1	1	1985	0	2	1
50	76	76	1	1	0	4	36	52	0	5	3	3	2	1	6475	1	1	2
50	77	77	1	1	0	5	31	53	0	5	2	2	2	1	7332	1	1	1
50	78	78	1	0	1	6	29	26	0	5	3	3	2	1	8386	1	1	1
50	79	79	1	0	1	7	5	31	0	2	3	2	1	1	1717	0	2	2
50	80	80	1	0	1	8	15	50	0	2	5	2	1	1	1286	0	2	1
50	81	81	1	0	1	9	13	8	0	4	5	4	1	1	4458	NaN	2	1
50	82	82	1	0	1	10	1	30	0	3	4	4	2	1	6693	0	1	2
50	83	83	1	0	1	11	39	52	0	2	4	2	1	1	7415	1	2	2
50	84	84	1	0	1	12	32	22	0	3	2	2	2	1	5474	0	1	2
50	85	85	1	2	0	1	3	36	0	2	4	2	1	1	4579	1	1	2
50	86	86	1	2	0	2	22	44	0	5	3	5	1	1	3465	1	1	1
50	87	87	1	2	0	3	14	47	0	4	5	5	2	1	6341	0	2	2
50	88	88	1	2	0	4	53	39	0	2	5	5	2	1	3039	0	2	1
50	89	89	1	2	0	5	33	9	0	4	5	5	2	1	6898	0	2	1
50	90	90	1	0	2	6	14	54	0	3	4	4	2	1	1779	0	2	1
50	91	91	1	0	2	7	26	54	0	2	3	2	1	1	4961	1	1	2
50	92	92	1	0	2	8	43	16	0	2	3	3	2	1	1075	0	2	2
50	93	93	1	0	2	9	10	51	0	4	3	4	1	1	9338	NaN	1	2
50	94	94	1	0	2	10	37	29	0	2	3	2	1	1	3301	0	1	1
50	95	95	1	0	2	11	31	10	0	5	3	5	1	1	3178	0	1	1
50	96	96	1	0	2	12	10	50	0	3	2	2	2	1	5648	1	2	2
50	97	1	2	1	0	1	41	4	0	3	4	3	1	1	4547	0	2	NaN
50	98	2	2	1	0	2	4	23	0	4	2	4	1	1	2708	0	2	1
50	99	3	2	1	0	3	34	4	0	3	4	3	1	1	849	0	2	1
50	100	4	2	1	0	4	48	37	0	2	3	2	1	1	5151	0	2	1
50	101	5	2	1	0	5	12	49	0	2	3	2	1	1	1494	0	2	1
50	102	6	2	0	1	6	24	13	0	3	5	5	2	1	1270	1	1	2
50	103	7	2	0	1	7	51	8	0	5	4	4	2	1	6045	1	1	1
50	104	8	2	0	1	8	45	9	0	2	4	2	1	1	7565	0	2	2
50	105	9	2	0	1	9	17	42	0	5	4	5	1	1	3880	NaN	2	1
50	106	10	2	0	1	10	52	27	0	3	4	4	2	1	6540	0	1	2
50	107	11	2	0	1	11	53	39	0	5	2	5	1	1	2734	1	2	2
50	108	12	2	0	1	12	30	49	0	5	3	5	1	1	907	1	2	1
50	109	13	2	2	0	1	33	51	0	4	3	4	1	1	1623	1	1	1
50	110	14	2	2	0	2	11	2	0	4	5	5	2	1	1278	0	2	2
50	111	15	2	2	0	3	8	38	0	2	5	5	2	1	4601	0	2	1
50	112	16	2	2	0	4	9	39	0	5	4	4	2	1	2608	0	2	1
50	113	17	2	2	0	5	38	19	0	4	3	3	2	1	1307	0	2	1
50	114	18	2	0	2	6	37	43	0	2	5	5	2	1	1799	0	2	1
50	115	19	2	0	2	7	11	3	0	4	2	2	2	1	1357	0	2	1
50	116	20	2	0	2	8	5	53	0	3	2	3	1	1	2330	1	1	2
50	117	21	2	0	2	9	8	2	0	5	4	5	1	1	4551	NaN	1	1
50	118	22	2	0	2	10	16	51	0	3	4	3	1	1	1381	0	1	1
50	119	23	2	0	2	11	12	43	0	4	2	4	1	1	1578	0	1	1
50	120	24	2	0	2	12	35	15	0	4	2	2	2	1	6864	1	2	2
50	121	25	2	1	0	1	2	48	0	5	4	5	1	1	1993	0	2	2
50	122	26	2	1	0	2	42	46	0	2	4	2	1	1	5051	0	2	1
50	123	27	2	1	0	3	39	16	0	4	3	3	2	1	1971	1	1	2
50	124	28	2	1	0	4	36	49	0	3	5	3	1	1	3156	0	2	2
50	125	29	2	1	0	5	45	49	0	4	2	4	1	1	5169	0	2	1
50	126	30	2	0	1	6	40	41	0	2	5	5	2	1	2612	1	1	2
50	127	31	2	0	1	7	50	47	0	2	3	3	2	1	5254	1	1	1
50	128	32	2	0	1	8	52	54	0	3	2	2	2	1	3298	1	1	1
50	129	33	2	0	1	9	31	54	0	2	5	5	2	1	7643	NaN	1	1
50	130	34	2	0	1	10	31	49	0	4	3	4	1	1	1003	1	2	2
50	131	35	2	0	1	11	17	8	0	3	2	3	1	1	3265	1	2	1
50	132	36	2	0	1	12	6	33	0	4	5	4	1	1	5665	1	2	1
50	133	37	2	2	0	1	12	6	0	4	5	4	1	1	9490	1	1	1
50	134	38	2	2	0	2	50	44	0	4	5	5	2	1	3940	0	2	2
50	135	39	2	2	0	3	6	53	0	5	2	5	1	1	3333	1	1	2
50	136	40	2	2	0	4	12	16	0	2	5	2	1	1	2834	1	1	1
50	137	41	2	2	0	5	35	31	0	2	3	3	2	1	1965	0	2	2
50	138	42	2	0	2	6	24	34	0	2	4	4	2	1	959	0	2	1
50	139	43	2	0	2	7	28	43	0	5	3	5	1	1	8188	1	1	2
50	140	44	2	0	2	8	6	34	0	2	4	4	2	1	2055	0	2	2
50	141	45	2	0	2	9	13	44	0	2	4	4	2	1	4787	NaN	2	1
50	142	46	2	0	2	10	7	41	0	2	3	4	0	0	3797	NaN	NaN	2
50	143	47	2	0	2	11	19	48	0	5	2	5	1	1	1571	0	1	NaN
50	144	48	2	0	2	12	34	20	0	5	3	5	1	1	1692	0	1	1
50	145	49	2	1	0	1	6	42	0	4	2	4	1	1	5700	0	2	1
50	146	50	2	1	0	2	24	44	0	4	5	4	1	1	3210	0	2	1
50	147	51	2	1	0	3	3	40	0	3	4	4	2	1	3916	1	1	2
50	148	52	2	1	0	4	3	48	0	3	5	3	1	1	757	0	2	2
50	149	53	2	1	0	5	2	53	0	5	2	5	1	1	818	0	2	1
50	150	54	2	0	1	6	36	25	0	5	3	5	1	1	1132	0	2	1
50	151	55	2	0	1	7	5	35	0	4	2	2	2	1	1305	1	1	2
50	152	56	2	0	1	8	26	28	0	3	2	2	2	1	5685	1	1	1
50	153	57	2	0	1	9	18	37	0	2	4	4	2	1	3858	NaN	1	1
50	154	58	2	0	1	10	47	15	0	5	2	2	2	1	1013	0	1	1
50	155	59	2	0	1	11	50	46	0	3	5	5	2	1	4712	0	1	1
50	156	60	2	0	1	12	15	14	0	5	4	4	2	1	2049	0	1	1
50	157	61	2	2	0	1	13	11	0	5	4	4	2	1	2216	0	2	1
50	158	62	2	2	0	2	3	49	0	2	5	2	1	1	1978	1	1	2
50	159	63	2	2	0	3	33	20	0	4	2	4	1	1	2016	1	1	1
50	160	64	2	2	0	4	37	19	0	3	5	5	2	1	2706	0	2	2
50	161	65	2	2	0	5	9	35	0	3	2	2	2	1	1023	0	2	1
50	162	66	2	0	2	6	1	21	0	5	3	3	2	1	5077	0	2	1
50	163	67	2	0	2	7	9	23	0	4	3	3	2	1	4034	0	2	1
50	164	68	2	0	2	8	29	52	0	2	4	4	2	1	3645	0	2	1
50	165	69	2	0	2	9	3	32	0	3	5	5	2	1	3101	NaN	2	1
50	166	70	2	0	2	10	48	22	0	3	5	5	2	1	2409	1	2	1
50	167	71	2	0	2	11	44	42	0	3	2	3	1	1	3476	0	1	2
50	168	72	2	0	2	12	3	28	0	5	2	5	1	1	1436	0	1	1
50	169	73	2	1	0	1	32	45	0	4	5	5	2	1	8111	1	1	2
50	170	74	2	1	0	2	27	42	0	5	2	2	2	1	4241	1	1	1
50	171	75	2	1	0	3	8	22	0	4	5	5	2	1	2908	1	1	1
50	172	76	2	1	0	4	38	8	0	4	3	4	1	1	8217	0	2	2
50	173	77	2	1	0	5	51	6	0	5	4	5	1	1	10265	0	2	1
50	174	78	2	0	1	6	1	48	0	3	4	4	2	1	3914	1	1	2
50	175	79	2	0	1	7	21	5	0	3	5	5	2	1	2243	1	1	1
50	176	80	2	0	1	8	45	3	0	2	5	5	2	1	706	1	1	1
50	177	81	2	0	1	9	14	19	0	2	3	3	2	1	1687	NaN	1	1
50	178	82	2	0	1	10	24	7	0	5	3	3	2	1	4826	0	1	1
50	179	83	2	0	1	11	17	16	0	2	3	3	2	1	778	0	1	1
50	180	84	2	0	1	12	36	39	0	2	3	3	2	1	2263	0	1	1
50	181	85	2	2	0	1	15	6	0	3	4	3	1	1	1170	1	1	2
50	182	86	2	2	0	2	27	43	0	5	3	5	1	1	3764	1	1	1
50	183	87	2	2	0	3	40	28	0	2	4	4	2	1	2118	0	2	2
50	184	88	2	2	0	4	29	24	0	4	3	4	1	1	16950	1	1	2
50	185	89	2	2	0	5	19	1	0	5	2	2	2	1	1343	0	2	2
50	186	90	2	0	2	6	38	1	0	2	5	5	2	1	880	0	2	1
50	187	91	2	0	2	7	19	2	0	3	2	2	2	1	1052	0	2	1
50	188	92	2	0	2	8	14	8	0	3	2	2	2	1	5714	0	2	1
50	189	93	2	0	2	9	32	42	0	4	5	4	1	1	2044	NaN	1	2
50	190	94	2	0	2	10	24	41	0	3	4	4	2	1	4515	1	2	2
50	191	95	2	0	2	11	2	31	0	4	3	3	2	1	1228	1	2	1
50	192	96	2	0	2	12	5	3	0	5	3	5	1	1	6010	0	1	2
50	193	1	3	1	0	1	8	25	0	2	3	3	2	1	9059	1	1	NaN
50	194	2	3	1	0	2	13	15	0	4	5	4	1	1	1168	0	2	2
50	195	3	3	1	0	3	18	48	0	4	2	4	1	1	3193	0	2	1
50	196	4	3	1	0	4	30	24	0	2	5	5	2	1	6268	1	1	2
50	197	5	3	1	0	5	36	4	0	5	4	4	2	1	2932	1	1	1
50	198	6	3	0	1	6	2	29	0	3	5	3	1	1	3697	0	2	2
50	199	7	3	0	1	7	18	53	0	3	2	3	1	1	3434	0	2	1
50	200	8	3	0	1	8	18	37	0	4	3	4	1	1	11509	0	2	1
50	201	9	3	0	1	9	44	48	0	3	5	3	1	1	8052	NaN	2	1
50	202	10	3	0	1	10	1	9	0	5	3	5	1	1	2132	1	2	1
50	203	11	3	0	1	11	6	33	0	2	4	2	1	1	8937	1	2	1
50	204	12	3	0	1	12	18	5	0	4	2	2	2	1	2244	0	1	2
50	205	13	3	2	0	1	28	25	0	3	4	4	2	1	2563	0	2	1
50	206	14	3	2	0	2	41	48	0	3	5	5	2	1	3989	0	2	1
50	207	15	3	2	0	3	20	7	0	2	4	2	1	1	6559	1	1	2
50	208	16	3	2	0	4	34	32	0	5	4	5	1	1	1225	1	1	1
50	209	17	3	2	0	5	7	4	0	4	3	3	2	1	1944	0	2	2
50	210	18	3	0	2	6	48	10	0	2	5	5	2	1	5873	0	2	1
50	211	19	3	0	2	7	10	42	0	3	4	3	1	1	1081	1	1	2
50	212	20	3	0	2	8	34	19	0	3	5	3	1	1	3165	1	1	1
50	213	21	3	0	2	9	15	47	0	5	4	5	1	1	1303	NaN	1	1
50	214	22	3	0	2	10	4	46	0	3	4	4	2	1	3851	1	2	2
50	215	23	3	0	2	11	11	15	0	5	2	2	2	1	2090	1	2	1
50	216	24	3	0	2	12	11	1	0	3	2	2	2	1	907	1	2	1
50	217	25	3	1	0	1	9	45	0	5	4	5	1	1	6951	0	2	2
50	218	26	3	1	0	2	26	50	0	3	5	3	1	1	1093	0	2	1
50	219	27	3	1	0	3	37	32	0	5	2	2	2	1	8085	1	1	2
50	220	28	3	1	0	4	52	19	0	2	4	4	2	1	4026	1	1	1
50	221	29	3	1	0	5	7	31	0	2	3	3	2	1	1945	1	1	1
50	222	30	3	0	1	6	24	32	0	5	2	2	2	1	1066	1	1	1
50	223	31	3	0	1	7	19	36	0	3	4	3	1	1	3266	0	2	2
50	224	32	3	0	1	8	3	45	0	2	3	3	2	1	3210	1	1	2
50	225	33	3	0	1	9	51	27	0	5	4	4	2	1	4068	NaN	1	1
50	226	34	3	0	1	10	43	7	0	2	3	2	1	1	2844	1	2	2
50	227	35	3	0	1	11	25	7	0	3	2	3	1	1	6660	1	2	1
50	228	36	3	0	1	12	7	53	0	2	5	5	2	1	6952	0	1	2
50	229	37	3	2	0	1	1	26	0	5	2	5	1	1	4543	1	1	2
50	230	38	3	2	0	2	36	54	0	4	5	5	2	1	2144	0	2	2
50	231	39	3	2	0	3	26	43	0	2	4	4	2	1	4817	0	2	1
50	232	40	3	2	0	4	6	18	0	4	5	4	1	1	4940	1	1	2
