MultiTargForag_2	Participant_Code = 62
Search_Type = 2	CB_Targets = 2
Trial	Item_Position_Num	Item_X	ItemY	Item_Shape	Item_Set
1.000000	1.000000	181.858291	180.415387	1.000000	1.000000
1.000000	2.000000	319.480782	142.364817	2.000000	2.000000
1.000000	3.000000	437.437453	126.065425	2.000000	2.000000
1.000000	4.000000	512.147424	153.095194	2.000000	2.000000
1.000000	5.000000	641.629085	128.742577	2.000000	3.000000
1.000000	6.000000	740.266157	160.093338	2.000000	3.000000
1.000000	7.000000	856.440721	119.372542	1.000000	1.000000
1.000000	8.000000	976.745440	172.810297	2.000000	3.000000
1.000000	9.000000	1062.677009	162.054916	2.000000	2.000000
1.000000	10.000000	1199.964529	120.269056	2.000000	2.000000
1.000000	11.000000	180.593328	291.744274	1.000000	1.000000
1.000000	12.000000	306.553522	224.965238	1.000000	4.000000
1.000000	13.000000	441.666457	251.202672	2.000000	3.000000
1.000000	14.000000	523.369534	261.117953	2.000000	3.000000
1.000000	15.000000	643.349269	244.258567	2.000000	2.000000
1.000000	16.000000	776.899249	229.800435	2.000000	3.000000
1.000000	17.000000	876.164835	286.568602	2.000000	2.000000
1.000000	18.000000	978.476604	264.678454	1.000000	1.000000
1.000000	19.000000	1071.867524	236.964050	2.000000	2.000000
1.000000	20.000000	1220.042334	228.792604	1.000000	4.000000
1.000000	21.000000	195.653784	350.751988	1.000000	1.000000
1.000000	22.000000	326.738909	331.983033	1.000000	4.000000
1.000000	23.000000	398.126277	399.128653	1.000000	4.000000
1.000000	24.000000	557.817284	389.128610	2.000000	2.000000
1.000000	25.000000	661.121849	367.829790	2.000000	3.000000
1.000000	26.000000	766.414495	355.524384	2.000000	3.000000
1.000000	27.000000	865.666304	332.101594	1.000000	1.000000
1.000000	28.000000	973.480939	391.756593	1.000000	4.000000
1.000000	29.000000	1104.241806	341.310043	2.000000	3.000000
1.000000	30.000000	1204.168726	387.473191	1.000000	4.000000
1.000000	31.000000	179.756866	500.513961	2.000000	3.000000
1.000000	32.000000	292.843193	485.699568	1.000000	1.000000
1.000000	33.000000	429.872824	462.330157	1.000000	1.000000
1.000000	34.000000	530.169765	471.410505	2.000000	3.000000
1.000000	35.000000	634.650649	448.175503	1.000000	4.000000
1.000000	36.000000	769.238386	480.782779	2.000000	3.000000
1.000000	37.000000	857.666800	438.691468	2.000000	3.000000
1.000000	38.000000	979.679576	468.672117	2.000000	3.000000
1.000000	39.000000	1100.698335	503.655476	1.000000	4.000000
1.000000	40.000000	1208.999793	454.974706	2.000000	2.000000
1.000000	41.000000	201.552771	605.524570	1.000000	1.000000
1.000000	42.000000	293.171867	593.384725	1.000000	4.000000
1.000000	43.000000	403.823144	573.651236	1.000000	1.000000
1.000000	44.000000	545.577714	567.132134	1.000000	4.000000
1.000000	45.000000	620.601336	578.067217	2.000000	2.000000
1.000000	46.000000	756.222456	610.416418	1.000000	4.000000
1.000000	47.000000	837.818290	570.415913	2.000000	3.000000
1.000000	48.000000	997.103049	607.237424	1.000000	1.000000
1.000000	49.000000	1094.650959	581.364453	2.000000	2.000000
