AdaptChoice	Code = 77	Session = 1	Starting Dist Col = 1
Targ 1 = 	255.000000	0.000000	0.000000	
Targ 2 = 	0.000000	0.000000	255.000000	
SubNo	Trial	Block_trial	Block_num	Plateau_cond	Transition_cond	Run_number	Targ1_position	Targ2_position	FixationCheck	Red_targ_digit	Blue_targ_digit	Response	Targ_Choice	Acc	RT	Optimal_Choice	StarEndOptimal	Repeat_Switch
77	1	1	0	1	0	1	16	5	0	2	3	3	2	1	2252	1	1	NaN
77	2	2	0	1	0	2	40	17	0	5	4	4	2	1	1442	1	1	1
77	3	3	0	1	0	3	16	25	0	4	5	4	1	1	4071	0	2	2
77	4	4	0	1	0	4	45	3	0	3	5	5	2	1	8334	1	1	2
77	5	5	0	1	0	5	51	4	0	5	4	4	2	1	2250	1	1	1
77	6	6	0	0	1	6	22	28	0	2	5	5	2	1	5601	1	1	1
77	7	7	0	0	1	7	27	15	0	5	2	2	2	1	1926	1	1	1
77	8	8	0	0	1	8	48	25	0	2	5	5	2	1	2362	1	1	1
77	9	9	0	0	1	9	11	9	0	2	4	4	2	1	1019	NaN	1	1
77	10	10	0	0	1	10	25	46	0	5	3	5	1	1	4089	1	2	2
77	1	1	1	1	0	1	44	21	0	2	5	5	2	1	2572	1	1	NaN
77	2	2	1	1	0	2	42	50	0	2	5	5	2	1	2457	1	1	1
77	3	3	1	1	0	3	27	43	0	3	5	5	2	1	2323	1	1	1
77	4	4	1	1	0	4	20	4	0	5	3	3	2	1	2091	1	1	1
77	5	5	1	1	0	5	3	8	0	3	5	5	2	1	1162	1	1	1
77	6	6	1	0	1	6	33	43	0	5	3	3	2	1	6059	1	1	1
77	7	7	1	0	1	7	41	22	0	5	4	4	2	1	1870	1	1	1
77	8	8	1	0	1	8	8	40	0	4	5	5	2	1	2764	1	1	1
77	9	9	1	0	1	9	47	48	0	4	2	2	2	1	3509	NaN	1	1
77	10	10	1	0	1	10	15	32	0	5	2	5	1	1	2248	1	2	2
77	11	11	1	0	1	11	33	13	0	3	2	3	1	1	3087	1	2	1
77	12	12	1	0	1	12	20	12	0	5	2	5	1	1	4058	1	2	1
77	13	13	1	2	0	1	23	34	0	5	3	5	1	1	2548	1	1	1
77	14	14	1	2	0	2	6	49	0	2	3	2	1	1	3225	1	1	1
77	15	15	1	2	0	3	41	54	0	5	4	5	1	1	2503	1	1	1
77	16	16	1	2	0	4	41	39	0	2	4	2	1	1	2626	1	1	1
77	17	17	1	2	0	5	17	29	0	3	4	3	1	1	3320	1	1	1
