"subj","targSide","RT"
"1","parallel",1.769
"10","parallel",1.815
"11","parallel",1.634
"12","parallel",1.905
"13","parallel",1.54
"15","parallel",1.763
"16","parallel",1.9435
"4","parallel",1.624
"6","parallel",1.594
"7","parallel",1.704
"8","parallel",1.8555
"9","parallel",1.855
"1","serial",2.508
"10","serial",6.057
"11","serial",1.925
"12","serial",8.124
"13","serial",1.9895
"15","serial",2.955
"16","serial",7.165
"4","serial",2.825
"6","serial",1.873
"7","serial",2.293
"8","serial",4.904
"9","serial",4.665
"1","absent",4.223
"10","absent",10.7205
"11","absent",1.9315
"12","absent",14.365
"13","absent",3.075
"15","absent",4.684
"16","absent",15.6805
"4","absent",5.54
"6","absent",2.7765
"7","absent",5.084
"8","absent",8.2845
"9","absent",7.737
