SubNo	Acc	RT	ProportionOptimalChoices	SwitchRate
1	0.96875	3809.4	0.39823	0.301115
2	0.975694	4892.26	0.618644	0.363971
3	0.993056	2884.89	0.453782	0.327402
4	0.920139	3850.62	0.477477	0.322314
5	0.975694	3070.13	0.435897	0.442804
6	0.975694	3294.36	0.441667	0.398524
7	0.954861	3867.14	0.336207	0.430769
8	0.944444	3885.2	0.460177	0.507812
9	0.979167	3166.48	0.709402	0.201465
10	0.989583	2635.69	0.722689	0.265233
11	0.930556	4570.74	0.482143	0.434959
12	0.986111	4572.43	0.495798	0.516245
13	0.947917	3409.4	0.531532	0.464844
14	0.989583	3718.97	0.516949	0.44086
15	0.982639	2968.54	0.462185	0.483636
16	0.972222	3415.41	0.512821	0.252788
17	0.965278	3199.21	0.678261	0.265918
19	0.986111	2262.89	0.820513	0.208633
20	1	5765.14	0.483333	0.263158
21	0.96875	3044.68	0.655462	0.141791
22	0.982639	2711.97	0.504202	0.24
23	0.986111	2781.57	0.855932	0.111913
24	0.979167	4326.52	0.344828	0.445255
25	0.795139	4331.14	0.6	0.322222
26	0.989583	3056.06	0.512605	0.351254
27	0.975694	2967.88	0.478992	0.295203
28	0.982639	2894.99	0.521368	0.126812
29	0.96875	2478.42	0.803419	0.250936
30	0.958333	3270.95	0.619469	0.293893
31	0.96875	3267.57	0.461538	0.100746
