SubNo	StartOptP1	StartOptP2	StartOptP3	StartOptP4	StartOptP5	StartOptT1	StartOptT2	StartOptT3	StartOptT4	StartOptT5	StartOptT6	StartOptT7	EndOptP1	EndOptP2	EndOptP3	EndOptP4	EndOptP5	EndOptT1	EndOptT2	EndOptT3	EndOptT4	EndOptT5	EndOptT6	EndOptT7
1	0.454545	0.318182	0.375	0.52381	0.333333	0.391304	0.375	0.434783	0.416667	0.375	0.583333	0.75	0.545455	0.681818	0.625	0.47619	0.666667	0.608696	0.625	0.565217	0.583333	0.625	0.416667	0.25
2	0.583333	0.708333	0.666667	0.5	0.636364	0.652174	0.458333	0.583333	0.583333	0.545455	0.565217	0.478261	0.416667	0.291667	0.333333	0.5	0.363636	0.347826	0.541667	0.416667	0.416667	0.454545	0.434783	0.521739
3	0.625	0.521739	0.333333	0.416667	0.375	0.416667	0.291667	0.458333	0.416667	0.333333	0.25	0.478261	0.375	0.478261	0.666667	0.583333	0.625	0.583333	0.708333	0.541667	0.583333	0.666667	0.75	0.521739
4	0.571429	0.375	0.409091	0.55	0.5	0.409091	0.52381	0.565217	0.631579	0.521739	0.375	0.272727	0.428571	0.625	0.590909	0.45	0.5	0.590909	0.47619	0.434783	0.368421	0.478261	0.625	0.727273
5	0.409091	0.458333	0.375	0.391304	0.541667	0.608696	0.416667	0.478261	0.347826	0.521739	0.583333	0.375	0.590909	0.541667	0.625	0.608696	0.458333	0.391304	0.583333	0.521739	0.652174	0.478261	0.416667	0.625
6	0.416667	0.333333	0.541667	0.458333	0.458333	0.478261	0.304348	0.333333	0.391304	0.545455	0.565217	0.521739	0.583333	0.666667	0.458333	0.541667	0.541667	0.521739	0.695652	0.666667	0.608696	0.454545	0.434783	0.478261
7	0.347826	0.272727	0.416667	0.304348	0.333333	0.434783	0.347826	0.4	0.391304	0.434783	0.458333	0.521739	0.652174	0.727273	0.583333	0.695652	0.666667	0.565217	0.652174	0.6	0.608696	0.565217	0.541667	0.478261
8	0.304348	0.545455	0.409091	0.521739	0.521739	0.409091	0.625	0.708333	0.565217	0.47619	0.652174	0.545455	0.695652	0.454545	0.590909	0.478261	0.478261	0.590909	0.375	0.291667	0.434783	0.52381	0.347826	0.454545
9	0.652174	0.652174	0.652174	0.75	0.833333	0.791667	0.652174	0.708333	0.875	0.681818	0.541667	0.375	0.347826	0.347826	0.347826	0.25	0.166667	0.208333	0.347826	0.291667	0.125	0.318182	0.458333	0.625
10	0.708333	0.608696	0.666667	0.75	0.875	0.833333	0.73913	0.833333	0.565217	0.5	0.458333	0.416667	0.291667	0.391304	0.333333	0.25	0.125	0.166667	0.26087	0.166667	0.434783	0.5	0.541667	0.583333
11	0.428571	0.545455	0.391304	0.545455	0.5	0.304348	0.333333	0.227273	0.458333	0.5	0.571429	0.478261	0.571429	0.454545	0.608696	0.454545	0.5	0.695652	0.666667	0.772727	0.541667	0.5	0.428571	0.521739
12	0.5	0.391304	0.583333	0.375	0.625	0.458333	0.608696	0.375	0.304348	0.583333	0.458333	0.478261	0.5	0.608696	0.416667	0.625	0.375	0.541667	0.391304	0.625	0.695652	0.416667	0.541667	0.521739
13	0.409091	0.363636	0.478261	0.73913	0.666667	0.521739	0.478261	0.458333	0.545455	0.666667	0.434783	0.391304	0.590909	0.636364	0.521739	0.26087	0.333333	0.478261	0.521739	0.541667	0.454545	0.333333	0.565217	0.608696
14	0.583333	0.458333	0.521739	0.521739	0.5	0.5	0.416667	0.375	0.375	0.5	0.434783	0.541667	0.416667	0.541667	0.478261	0.478261	0.5	0.5	0.583333	0.625	0.625	0.5	0.565217	0.458333
15	0.583333	0.375	0.375	0.478261	0.5	0.478261	0.375	0.521739	0.652174	0.541667	0.458333	0.521739	0.416667	0.625	0.625	0.521739	0.5	0.521739	0.625	0.478261	0.347826	0.458333	0.541667	0.478261
