MultiTargForag_1	Participant_Code = 3								
Search_Type = 1	CB_Targets = 1								
Trial	Click_Num	Target_Click_Order	Click_X	Click_y	Item_selected	Item_X	Item_Y	Target_Set	RT
1	1	1	251	132	2	251.468358	139.137295	2	1.360492
1	2	2	191	191	11	186.838257	195.058689	1	2.021606
1	3	3	262	186	12	257.124295	196.222368	1	2.597341
1	4	4	188	284	21	194.195298	294.186785	2	3.13414
1	5	5	183	354	31	179.229673	365.042846	2	3.733213
1	6	6	261	349	32	264.647971	356.862087	1	4.172693
1	7	7	267	421	42	257.637997	428.405656	2	4.64527
1	8	8	261	501	52	253.366819	505.415766	1	5.150705
1	9	9	249	578	62	251.287351	575.604742	2	5.710813
1	10	10	200	622	71	194.797149	628.729056	1	6.230224
1	11	11	334	555	63	337.504001	563.759648	2	6.72466
1	12	12	419	637	74	410.492986	642.419176	1	7.350376
1	13	13	550	626	76	553.569521	624.143999	1	7.942771
1	14	14	631	634	77	628.862853	646.37406	2	8.381795
1	15	15	624	560	67	625.025818	552.198731	2	8.805706
1	16	16	691	558	68	684.501655	555.247166	1	9.166709
1	17	17	710	644	78	698.037202	644.567421	1	9.621574
1	18	18	775	649	79	764.439427	645.396195	2	10.069625
1	19	19	829	621	80	836.352249	620.433852	2	10.526524
1	20	20	841	491	60	837.994942	483.249226	2	11.102033
1	21	21	699	486	58	695.097785	481.060784	1	11.628958
1	22	22	850	417	50	837.278807	407.852091	2	12.284977
1	23	23	831	284	30	831.490845	286.49796	2	12.822034
1	24	24	842	203	20	843.101512	194.95927	1	13.294138
1	25	25	827	148	10	832.717092	144.822694	1	13.796818
1	26	26	769	208	19	760.732594	213.472715	1	14.341635
1	27	27	766	155	9	763.09557	152.32228	2	14.766558
1	28	28	678	192	18	695.894567	190.215298	1	15.148743
1	29	29	698	287	28	690.84531	293.932383	1	15.693516
1	30	30	629	229	17	618.253595	218.298129	1	16.156474
1	31	31	615	141	7	620.078254	152.965015	2	16.549293
1	32	32	560	209	16	550.34831	223.154988	1	17.174932
1	33	33	465	194	15	471.873172	214.032019	1	17.574697
1	34	34	469	131	5	470.846407	127.65222	2	17.949296
1	35	35	419	267	24	410.430462	266.433901	1	18.630718
1	36	36	319	141	3	324.787651	132.384475	2	19.149243
1	37	37	557	281	26	551.935729	290.63065	2	20.0854
1	38	38	530	329	36	540.783473	334.297142	2	20.429181
1	39	39	421	407	44	409.849077	422.142056	2	21.070173
1	40	40	635	412	47	628.562282	426.358522	1	21.757287
2	1	1	178	119	1	178.886082	117.761794	2	1.491911
2	2	2	180	171	11	188.158354	194.481363	2	1.891118
2	3	3	272	200	12	254.23124	206.907877	1	2.275998
2	4	4	273	273	22	261.80752	284.792544	1	2.777811
2	5	5	260	341	32	256.331307	357.377992	1	3.250487
2	6	6	167	356	31	189.497888	354.669454	2	3.660093
2	7	0	189	470	51	193.577436	506.332391	1	4.355079
2	8	7	199	489	51	193.577436	506.332391	1	5.122623
2	9	8	273	498	52	250.732543	498.292175	1	5.523151
2	10	9	266	548	62	262.336845	560.253863	1	6.043049
2	11	10	183	563	61	190.791884	556.228782	1	6.474002
2	12	11	413	560	64	410.605605	566.157	2	7.140024
2	13	12	393	610	74	397.644397	621.725605	2	7.516095
2	14	13	397	434	44	403.827881	435.49235	2	8.14728
2	15	14	320	415	43	334.069144	422.274765	1	8.467938
2	16	15	394	288	24	399.935015	282.940337	1	9.098508
2	17	16	402	184	14	397.296521	195.648379	2	9.681941
2	18	17	401	160	4	402.23823	152.459177	2	9.994461
2	19	18	334	135	3	330.840328	132.100862	1	10.387952
2	20	19	477	218	15	484.044836	220.744431	1	10.930968
2	21	20	477	329	35	475.906804	348.201276	2	11.426283
2	22	21	547	489	56	555.607275	494.393	1	12.307927
2	23	22	616	604	77	615.081901	618.713334	1	12.810361
2	24	0	769	499	59	771.199851	473.645011	2	13.451363
2	25	23	780	473	59	771.199851	473.645011	2	14.147772
2	26	24	784	614	79	773.507464	620.715979	1	14.658356
2	27	25	821	618	80	829.327144	631.897423	1	14.993944
2	28	26	847	491	60	844.021931	493.260714	2	15.571977
2	29	27	768	428	49	760.137792	425.335005	1	16.250553
2	30	28	695	386	38	693.897583	365.64437	1	16.634575
2	31	29	628	331	37	628.715005	343.968617	2	17.09052
2	32	30	556	351	36	551.661367	364.086006	1	17.474813
2	33	31	562	276	26	554.732743	280.721187	2	18.010478
2	34	32	638	273	27	615.796688	279.475258	1	18.45195
2	35	33	619	206	17	618.518269	213.820082	2	18.795391
2	36	34	552	125	6	546.37163	119.21963	2	19.363488
2	37	35	698	121	8	699.039823	126.873456	2	19.882858
2	38	36	695	189	18	691.899892	204.085089	2	20.354067
2	39	37	747	207	19	768.74438	219.072935	2	20.73081
2	40	38	827	138	10	841.097071	119.079402	2	21.307418
2	41	39	835	203	20	832.406121	205.786713	1	21.683248
2	42	40	842	254	30	838.312142	263.380454	2	22.026443
3	1	1	333	139	3	332.062506	143.439818	2	1.572421
3	2	2	407	137	4	398.537417	144.458486	1	2.275095
3	3	3	481	131	5	483.72283	129.400768	1	2.716549
3	4	4	478	202	15	479.592049	214.087503	1	3.187771
3	5	0	378	223	14	405.556574	221.131438	2	3.587445
3	6	5	403	211	14	405.556574	221.131438	2	3.995105
3	7	6	337	248	23	333.018179	263.163754	1	4.364592
3	8	7	251	272	22	252.790525	272.903133	1	4.844498
3	9	8	187	248	21	177.911311	261.815823	1	5.363204
3	10	9	192	205	11	188.871618	210.907132	1	5.636551
3	11	10	180	343	31	177.744288	353.229014	2	6.171262
3	12	11	182	408	41	187.246538	420.886117	2	6.602621
3	13	12	268	465	52	256.59727	475.881892	1	7.05977
3	14	13	341	411	43	329.366844	416.3366	1	7.412528
3	15	14	326	333	33	329.428437	345.379191	2	7.87621
3	16	15	189	605	71	189.340012	615.751986	2	8.803273
3	17	16	332	553	63	334.586602	558.920473	2	9.268401
3	18	17	337	631	73	338.103409	642.281839	2	9.708462
3	19	18	255	639	72	261.440772	641.281195	1	10.074851
3	20	19	407	493	54	406.737814	482.360722	2	10.682298
3	21	20	455	465	55	468.534762	479.190827	2	11.067143
3	22	21	525	561	66	541.825844	578.184554	2	11.65845
3	23	22	604	508	57	614.445974	505.437141	2	12.228159
3	24	23	620	578	67	621.03839	568.898925	1	12.827394
3	25	24	622	619	77	618.876179	622.095282	2	13.130413
3	26	25	684	507	58	687.62647	494.502882	1	13.63455
3	27	0	598	395	47	620.147183	417.422931	1	14.595687
3	28	26	602	412	47	620.147183	417.422931	1	15.058977
3	29	27	554	406	46	552.967443	416.815491	1	15.675658
3	30	28	548	370	36	540.57051	363.094636	2	15.995997
3	31	29	492	265	25	483.030633	283.40132	2	16.556403
3	32	30	607	266	27	612.832329	274.621396	1	17.03614
3	33	31	631	217	17	623.701921	220.78729	1	17.371651
3	34	32	630	119	7	623.73898	130.229952	1	18.011667
3	35	33	665	193	18	686.932802	200.315333	1	18.474513
3	36	34	773	144	9	760.915513	137.212683	1	18.98057
3	37	35	777	206	19	764.141749	208.602391	1	19.27439
3	38	36	775	269	29	762.584005	287.974361	2	19.707659
3	39	37	824	353	40	836.271627	355.148034	2	20.194947
3	40	38	772	427	49	770.868399	419.002066	2	20.595265
3	41	39	857	408	50	833.687836	411.508565	2	20.906848
3	42	0	838	442	60	836.156134	473.400276	2	21.268333
3	43	40	843	455	60	836.156134	473.400276	2	21.571521
4	1	1	317	129	3	324.307567	132.298961	2	1.358678
4	2	2	271	198	12	262.06591	208.652081	1	1.815536
4	3	3	341	207	13	337.614958	209.107278	1	2.135164
4	4	4	317	263	23	324.443684	261.097181	1	2.488061
4	5	5	268	266	22	257.473374	266.851146	1	2.854901
4	6	6	168	283	21	178.683142	282.916685	1	3.447376
4	7	7	262	335	32	264.517455	348.652005	2	3.839133
4	8	8	200	469	51	190.182236	485.988691	2	4.368189
4	9	9	204	538	61	187.41486	543.823836	1	5.270192
