observer,ls_prop_homo,ls_prop_hetero,ls_median_rt,ls_mean_log_rt,ac_acc,ac_rt,ac_propOpt,ac_switchRate,ac_meanlog2rt,fg_feat_log2,fg_conj_log2,fg_conj_run_num,fg_conj_run_length
1,0.23684210526315788,0.7631578947368421,2262,11.502374756183613,0.96875,3809.4,0.39823,0.301115,11.7177,14.4213,14.3078,16.85,2.47686
2,0.5823232323232324,0.4176767676767677,NA,NA,0.975694,4892.26,0.618644,0.363971,12.0406,14.4659,15.2872,6.85,11.6099
3,0.6962025316455697,0.3037974683544304,3666.5,11.90727186375511,0.993056,2884.89,0.453782,0.327402,11.3691,14.2872,14.5566,7.3,7.27316
5,0.5126582278481012,0.4873417721518987,3044,11.59376634054024,0.975694,3070.13,0.435897,0.442804,11.381,14.7574,15.0006,2.9,17.4524
6,0.4349099099099099,0.56509009009009,2449,11.271974370604745,0.975694,3294.36,0.441667,0.398524,11.5534,14.8773,15.0912,12.15,4.54928
7,0.28662280701754383,0.7133771929824562,4179.5,11.910016471458968,0.954861,3867.14,0.336207,0.430769,11.7198,14.8198,14.9199,2.2,18.6667
8,0.32395833333333335,0.6760416666666667,2296.5,11.370984644666272,0.944444,3885.2,0.460177,0.507813,11.7622,14.5759,14.9744,2.35,18.9167
9,0.3680365296803653,0.6319634703196347,2139,11.202875468178084,0.979167,3166.48,0.709402,0.201465,11.5399,14.7166,15.0101,2.35,18.4
10,0.29572649572649573,0.7042735042735043,3098.5,11.703094169911292,0.989583,2635.69,0.722689,0.265233,11.2556,14.5571,14.9149,14.9,2.82229
11,0.7945147679324894,0.20548523206751054,NA,NA,0.930556,4570.74,0.482143,0.434959,11.8037,14.7889,15.0358,6.85,11.4647
12,0.5068627450980392,0.49313725490196075,2999,11.597205008439245,0.986111,4572.43,0.495798,0.516245,11.9607,14.9389,15.4528,12.3,4.10361
13,0.58,0.42,3963,11.964347919515392,0.947917,3409.4,0.531532,0.464844,11.5353,14.943,15.0803,4.55,13.8247
14,0.27478070175438596,0.725219298245614,3042.5,11.635657379035353,0.989583,3718.97,0.516949,0.44086,11.7224,14.6182,15.1621,16.45,2.55462
16,0.370042194092827,0.629957805907173,3311,11.660142066295954,0.972222,3415.41,0.512821,0.252788,11.5943,14.7475,15.3176,12.3,7.8018
17,0.7577625570776255,0.24223744292237442,NA,NA,0.965278,3199.21,0.678261,0.265918,11.4939,14.8971,15.1265,12.9,3.20498
19,0.3861111111111111,0.6138888888888889,NA,NA,0.986111,2262.89,0.820513,0.208633,11.0515,14.6181,14.7005,2.1,19.5
20,0.46452991452991454,0.5354700854700855,3663.5,11.94873787069418,1,5765.14,0.483333,0.263158,12.2966,14.5028,14.6509,2.4,18.4
22,0.731875,0.268125,4527.5,12.068768423558236,0.982639,2711.97,0.504202,0.24,11.3382,14.6856,14.8201,16.05,3.7972
23,0.6588095238095238,0.3411904761904762,4194,12.0851308135012,0.986111,2781.57,0.855932,0.111913,11.3832,14.7525,14.9451,7.45,11.667
24,0.5088888888888888,0.4911111111111111,4092.5,12.120308068503883,0.979167,4326.52,0.344828,0.445255,11.8944,14.6408,15.3728,16.1,2.55273
25,0.5266666666666666,0.47333333333333333,3110,11.680111717702523,0.795139,4331.14,0.6,0.322222,11.7764,14.7421,15.2509,5.25,14.5758
26,0.39675324675324675,0.6032467532467533,3607,11.814320398050445,0.989583,3056.06,0.512605,0.351254,11.3647,14.4805,15.2323,14.65,2.92465
27,0.45151515151515154,0.5484848484848485,3765.5,11.819939995497064,0.975694,2967.88,0.478992,0.295203,11.4089,14.8031,14.9877,2.1,19.5
28,0.18782051282051282,0.8121794871794872,2206.5,11.128506940282309,0.982639,2894.99,0.521368,0.126812,11.3515,14.6522,15.2542,3.25,16.2175
29,0.2679166666666667,0.7320833333333333,2798,11.450403253503428,0.96875,2478.42,0.803419,0.250936,11.1843,14.5068,14.9012,16.65,2.53007
30,0.5838095238095238,0.41619047619047617,2375,11.28149628469783,0.958333,3270.95,0.619469,0.293893,11.4512,14.5126,15.2,14.5,4.00006
31,0.3352320675105485,0.6647679324894514,3086,11.776978857019838,0.96875,3267.57,0.461538,0.100746,11.5454,NA,NA,NA,NA
34,0.1571729957805907,0.8428270042194093,3367,11.77196585627146,0.989583,3424.77,0.525,0.34767,11.5135,14.783,15.1227,16.7,2.5226
35,0.400210970464135,0.599789029535865,2161.5,11.28892987946576,0.993056,3643.75,0.588235,0.22695,11.5644,NA,NA,NA,NA
36,0.22294372294372294,0.7770562770562771,2022.5,11.124520597437433,0.96875,4536.27,0.556522,0.329588,11.8529,14.6599,14.8781,14.1,3.65333
37,0.20869565217391303,0.7913043478260869,1870.5,10.889979347231245,0.958333,3391.46,0.632479,0.362595,11.4676,14.8984,15.1095,9.3,5.38586
38,0.12875,0.87125,1918,11.017425106412617,NA,NA,NA,NA,NA,15.234,15.5525,7.1,10.354
39,0.20833333333333334,0.7916666666666666,2135.5,11.132652965199002,NA,NA,NA,NA,NA,14.5979,14.7877,2.2,18.8333
